event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not get some exercise,"[""none""]","[""none""]","[""none""]","[""heavy"", ""lethargic"", ""stagnant"", ""inactive"", ""lazy"", ""corpulent""]","[""Person X gets fat"", ""Person X becomes lazy"", ""they get fat"", ""they become unhealthy""]","[""to sleep in"", ""to work at his job"", ""more sleep"", ""to stay in bed""]","[""to not move around much"", ""to do something sedentary"", ""wants to workout"", ""has a routine""]","[""sluggish"", ""lazy"", ""tired"", ""unmotivated""]","[""to stay in one spot"", ""to plan some exercise"", ""Work up motivation"", ""plan for tomorrow""]",tst,PersonX gets some exercise
PersonX does not burn badly,"[""none""]","[""none""]","[""none""]","[""strong"", ""enduring"", ""hardy"", ""lucky""]","[""none""]","[""to avoid getting hurt"", ""to be safe around fire"", ""none""]","[""none"", ""to go near fire"", ""to not be careful""]","[""guarded"", ""watchful"", ""relieved"", ""thankful""]","[""to apply sunscreen"", ""get a tan"", ""apply burn cream"", ""to get medical attention"", ""to check their skin""]",tst,PersonX burns badly
PersonX does not not do PersonY any favours,"[""none""]","[""confused"", ""upset"", ""disappointed in PersonX"", ""annoyed by PersonX's tough love""]","[""PersonX to back them up"", ""PersonX to tell everyone the truth"", ""to avoid PersonX"", ""to argue with PersonX""]","[""miserly"", ""stingy"", ""spiteful"", ""vindictive""]","[""none""]","[""to be selfish"", ""PersonY to do their own work"", ""to look out for himself"", ""to encourage PersonY to be independent""]","[""none""]","[""annoyed"", ""frustrated"", ""interested in his own needs"", ""helpful, in the long term""]","[""to mind their own business"", ""be drama free"", ""to avoid PersonY"", ""to argue with PersonY""]",tst,PersonX not does PersonY any favours
PersonX would not take care of it,"[""none""]","[""none""]","[""to complain about it"", ""to scold PersonX"", ""none""]","[""uncaring"", ""lazy"", ""careless""]","[""reprimanded"", ""demoted"", ""none""]","[""none"", ""to avoid taking on extra responsibilities"", ""to concentrate on other duties""]","[""to have something to take care of"", ""to neglect it"", ""get behind on chores"", ""have a long day""]","[""uncaring"", ""unfocused"", ""guilty"", ""overwhelmed""]","[""to not get it"", ""to get someone to take care of it"", ""relax on the couch"", ""skip his homework""]",tst,PersonX would take care of it
PersonX does not crack the eggs,"[""none""]","[""annoyed"", ""sympathetic"", ""none""]","[""none""]","[""Vegan"", ""unskilled at cooking"", ""not domesticated"", ""klutzy""]","[""Begged by kids"", ""Yelled at by wife"", ""Person X starves"", ""Person X misses breakfast""]","[""to not make a mess"", ""to have someone else do it"", ""to boil the eggs first"", ""to save the eggs for later""]","[""none""]","[""incapable"", ""embarrassed"", ""like a skilled cook"", ""responsible""]","[""to make something else"", ""throw eggs away"", ""crack the eggs"", ""use an egg substitute""]",tst,PersonX cracks the eggs
PersonX does not find a good place,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""untrustworthy"", ""unwell"", ""unhealthy""]","[""none""]","[""none""]","[""none"", ""need a place"", ""look for a place""]","[""frustrated"", ""like giving up"", ""worried"", ""disappointed""]","[""looks for a better place"", ""gives up and goes home"", ""keep looking"", ""settle for what is available""]",tst,PersonX finds a good place
PersonX does not enjoy PersonX's class,"[""none""]","[""none""]","[""none""]","[""bored"", ""uneasy"", ""not interested"", ""not stimulating"", ""repetition""]","[""reprimanded"", ""fails class"", ""misses important facts"", ""fails the class""]","[""none""]","[""none"", ""to go to school"", ""to go to class""]","[""bored"", ""unhappy"", ""uninspired"", ""disinterested""]","[""to wait for the teacher to be preoccupied"", ""to slip out of class"", ""to go on lunch"", ""to take a break"", ""to drop the class""]",tst,PersonX enjoys PersonX's class
PersonX does not hear a scary noise,"[""none""]","[""none""]","[""none""]","[""calm"", ""unbothered"", ""deaf"", ""unaware""]","[""none""]","[""none""]","[""none""]","[""calm"", ""unafraid"", ""relieved"", ""relaxed""]","[""to inspect it"", ""to see what everyone heard"", ""to continue not hearing it"", ""to not be afraid""]",tst,PersonX hears a scary noise
PersonX does not leave the class,"[""none""]","[""important"", ""helpful"", ""none""]","[""none""]","[""stubborn"", ""interested"", ""dutiful"", ""diligent""]","[""Given a good participation grade"", ""Promoted to difficult class"", ""gets smarter"", ""gets the best grade in the class""]","[""to ask the teacher something"", ""to stay in class"", ""to continue learning"", ""to observe the rules""]","[""to arrive at school"", ""to find their seat"", ""wake up"", ""go to school""]","[""curious"", ""interested"", ""privileged"", ""dutiful""]","[""to get a good grade"", ""to impress the teacher"", ""to learn"", ""to be a good student""]",tst,PersonX leaves the class
PersonX does not give PersonX's name,"[""none""]","[""suspicious"", ""demanding"", ""none""]","[""none""]","[""reluctant"", ""hesitant"", ""avoidant"", ""rude"", ""shy""]","[""none"", ""Not hired for the job"", ""Reported to police""]","[""to escape without notice"", ""to avoid getting in trouble"", ""to wait until the right time"", ""to not have to deal with it right now""]","[""none""]","[""secretive"", ""mischievous"", ""discombobulated"", ""flummoxed""]","[""to be inconspicuous"", ""to stay hidden"", ""to hide their name"", ""to remain anonymous""]",tst,PersonX gives PersonX's name
PersonX does not see what had happened,"[""none""]","[""none""]","[""none"", ""to help person X examine the wreckage"", ""to determine how the accident happened""]","[""uncaring"", ""focused"", ""uninformed"", ""clueless""]","[""be curious about the event"", ""be cautious after the knowledge"", ""none""]","[""none""]","[""to be facing the opposite direction"", ""to have the sun in his eyes"", ""none""]","[""that they avoided the crowd at the right time to miss the event"", ""curious of the exact details of the event"", ""curious"", ""left out"", ""like they missed it""]","[""to ask what happened"", ""to read about it in the newspaper"", ""to examine the wreckage"", ""to find the black box recording""]",tst,PersonX sees what had happened
PersonX does not see's going on,"[""none""]","[""neglected"", ""mad"", ""none""]","[""none""]","[""confused"", ""stupid"", ""clueless"", ""naive""]","[""laughed at"", ""becomes confused"", ""Hit in face by criminals fist"", ""Thrown into van""]","[""none""]","[""none""]","[""neglectful"", ""ashamed"", ""sad"", ""confused"", ""lost""]","[""to be more aware of their surroundings"", ""to pay more attention when outside""]",tst,PersonX sees's going on
PersonX does not leave PersonY's car,"[""PersonX becomes angry"", ""PersonX is arrested"", ""none""]","[""secure knowing PersonX is in the car"", ""enjoyment spending time with PersonX"", ""good they can help their friend"", ""happy to have a good conversation""]","[""get person X out"", ""take person x for a ride"", ""to get PersonX out"", ""to scream at PersonX""]","[""unmoved"", ""stubborn"", ""comfortable"", ""safe""]","[""PersonY kicks person PersonX out of the car"", ""PersonY calls the police"", ""none""]","[""to stay in the vehicle"", ""to wait for PersonY to get back"", ""to get a ride"", ""to keep talking to PersonY""]","[""get into the car"", ""sit still"", ""to get in the car"", ""to refuse to get out""]","[""comfortable in the car"", ""safe"", ""happy to have a friend with a car"", ""happy to chat with PersonY""]","[""argue with PersonY"", ""go for a ride"", ""to stay in the car"", ""to get a ride somewhere else""]",tst,PersonX leaves PersonY's car
PersonX does not choose among alternatives,"[""none""]","[""none""]","[""none""]","[""decided"", ""hurried"", ""undecided"", ""absentminded""]","[""none""]","[""one thing and one thing only"", ""not to waste time deciding"", ""more options"", ""avoid committing""]","[""none""]","[""determined"", ""stubborn"", ""single-minded"", ""picky"", ""regretful""]","[""to stay where they are"", ""to retain his friends"", ""to get their first choice"", ""to do something else entirely""]",tst,PersonX chooses among alternatives
PersonX does not watch PersonY intently,"[""none"", ""PersonY walks away"", ""PersonY leaves the house""]","[""like they have freedom"", ""unwatched"", ""none""]","[""none"", ""to have high self esteem"", ""to be pleased""]","[""uninterested"", ""unfocused"", ""anxious"", ""nervous""]","[""none"", ""watches the tv"", ""falls asleep""]","[""unconcerned"", ""unaffected"", ""to avoid being creepy"", ""to stay focused""]","[""none"", ""to have faith in Y"", ""to trust Y""]","[""unconcerned still"", ""unwary"", ""calm"", ""content""]","[""interact with Y"", ""leave Y alone"", ""to feel confident"", ""to feel relaxed""]",tst,PersonX watches PersonY intently
PersonX does not eat crackers,"[""none""]","[""none""]","[""none""]","[""finicky"", ""persnickety"", ""picky""]","[""gets hungry"", ""becomes dizzy"", ""remains hungry"", ""maintains their diet""]","[""to save their appetite"", ""to avoid sodium"", ""not get too full""]","[""none""]","[""relieved"", ""content"", ""hungry"", ""happy with the choice""]","[""to try new things"", ""watch their carbs"", ""drinks soda"", ""watches a movie""]",tst,PersonX eats crackers
PersonX does not watch intently,"[""none""]","[""none""]","[""to confront PersonX"", ""to get PersonX's attention"", ""none""]","[""unfocused"", ""distracted"", ""not paying attention"", ""inattentive""]","[""misses an opportunity"", ""gets hit in the head with the ball"", ""misses something important"", ""doesn't know what is going on""]","[""none"", ""to think about something else"", ""to multi task""]","[""to see something"", ""to notice something"", ""none""]","[""bored"", ""distracted"", ""busy""]","[""to pay attention"", ""to look at something else"", ""to rewatch since they didn't pay good attention"", ""to watch with someone else to make it more interesting""]",tst,PersonX watches intently
PersonX does not rain on PersonX's parade,"[""none""]","[""none""]","[""to talk to PersonX"", ""to interact with PersonX"", ""none""]","[""caring"", ""touched"", ""kind"", ""respectful""]","[""none""]","[""none""]","[""to know PersonX"", ""to talk to PersonX"", ""none""]","[""relieved"", ""dry"", ""relief"", ""secure"", ""safe""]","[""to part ways"", ""to tell PersonY what they really think"", ""to have a good time"", ""to relax""]",tst,PersonX rains on PersonX's parade
PersonX does not fail PersonX's classes,"[""none""]","[""none"", ""proud"", ""happy PersonX didn't fail""]","[""none""]","[""studious"", ""capable"", ""smart"", ""prepared""]","[""passes class"", ""graduates"", ""none""]","[""to pass the class"", ""to succeed"", ""to pass with flying colors"", ""to get a good grade""]","[""to have studied"", ""to have hired a tutor"", ""study hard"", ""pay attention in class""]","[""successful"", ""proud"", ""like they avoided failure"", ""dedicated""]","[""to show his parents his grades"", ""to celebrate"", ""to get report card""]",tst,PersonX fails PersonX's classes
PersonX does not have a fit,"[""none""]","[""grateful towards X"", ""like they want to check on X"", ""impressed with X"", ""surprised""]","[""thank personX"", ""show appreciation"", ""to provoke x"", ""to help x stay calm""]","[""calm"", ""composed"", ""controlled""]","[""none"", ""smiles"", ""laughs""]","[""to not annoy others"", ""to keep his emotions under control"", ""none""]","[""decide to stay calm"", ""be presented with something unpleasant"", ""stay clam"", ""ignore the agitator""]","[""anxious"", ""like he's about to explode"", ""restraint"", ""relief""]","[""remain calm"", ""find a better way to express anger"", ""to keep their cool"", ""to avoid conflict""]",tst,PersonX has a fit
PersonX does not show a leg,"[""none"", ""want to befriend PersonX"", ""Want to save PersonX from the old-fashioned people""]","[""none""]","[""none""]","[""responsible"", ""cautious"", ""flavorless"", ""drab"", ""conservative"", ""modest""]","[""arrives late"", ""misses work"", ""gets commended for conservative dress"", ""gets befriended by old-fashioned people""]","[""to be modest"", ""to earn respect"", ""to keep their pants on"", ""to not embarrass themselves""]","[""none"", ""decide to cover up"", ""wear pants""]","[""modest"", ""prude"", ""mature"", ""content"", ""happy""]","[""to preserve her modesty"", ""to stay warm while jogging"", ""stay covered"", ""be modest""]",tst,PersonX shows a leg
