event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX praises PersonY's brother.,trn,"[""encouraging"", ""conscious of others' strengths"", ""thankful"", ""giving""]","[""none"", ""gets thanked"", ""speaks to person""]","[""none"", ""shows apprication"", ""shows gratfulness""]","[""grateful"", ""proud"", ""happy"", ""enjoyment""]","[""proud also"", ""accomplished"", ""none""]","[""to appear good"", ""to show support"", ""to make sure the brother knows they're special"", ""to get in good grace with PersonY""]","[""to thank personx"", ""for presonx to mentor the brother"", ""none""]","[""to show appreciation"", ""to give credit"", ""none""]","[""none""]",PersonX hits PersonY's brother
PersonX walks away from the problem.,trn,"[""defeatist"", ""dispirited"", ""dejected"", ""cowardly"", ""neglectful""]","[""person x sighs"", ""person x laughs"", ""thinks about turning back and fighting"", ""stresses whether he made the right decision""]","[""none""]","[""the burden lifted"", ""irresponsible for ignoring it"", ""alone"", ""relieved""]","[""none""]","[""to do something else"", ""to take a break"", ""to push the problem off until later"", ""to act like there is no issue at all""]","[""none""]","[""some peace and quiet"", ""to get away from the hassle"", ""be alone"", ""be glad""]","[""to notice the problem"", ""to not want to deal with the problem"", ""none""]",PersonX throws a rock at it
PersonX mistrusts PersonY's eyes,trn,"[""suspicious"", ""leery"", ""on guard"", ""observant"", ""scared""]","[""PersonX avoids PersonY"", ""PersonX watches PersonY closely"", ""none""]","[""none""]","[""loving"", ""happy"", ""sad"", ""fear""]","[""none""]","[""to believe person y"", ""to hear what person y says"", ""avoid personY"", ""refrain from trusting personY""]","[""none""]","[""none""]","[""to meet person y"", ""to see the eyes of person y"", ""none""]",PersonX believes PersonY's eyes
PersonX neglects PersonX's duties,trn,"[""incompetent"", ""foolish"", ""careless"", ""delinquent""]","[""none"", ""Scolded by boss"", ""Given more responsibilities""]","[""none""]","[""lazy"", ""inactive"", ""fat"", ""fatigued""]","[""none""]","[""relax"", ""watch TV"", ""to start doing their duties"", ""to apologize""]","[""none""]","[""none"", ""to be lazy"", ""to sit on the sofa all day""]","[""to have chores that they have to do"", ""to not want to do their chores"", ""none""]",PersonX makes PersonX's rounds
PersonX likes PersonY's food,trn,"[""appreciative"", ""complimentary"", ""Accepting"", ""Eager to eat"", ""Appeasable""]","[""eats the food"", ""thanks PersonY"", ""none""]","[""none"", ""Complimented by personX"", ""Given a pat on the back""]","[""happy"", ""excited"", ""satisfied""]","[""none""]","[""to buy another plate"", ""to get out"", ""to ask for seconds"", ""to compliment persony""]","[""none"", ""to bake more food"", ""to give second helpings""]","[""none""]","[""to eat"", ""to like the food"", ""none""]",PersonX enjoys PersonY's work
PersonX becomes enemy with PersonY,trn,"[""unfriendly"", ""uncompromising"", ""aggressive"", ""rude""]","[""hates persony"", ""yells at persony"", ""is avoided"", ""is remorseful""]","[""hates personx"", ""screams at personx"", ""is afraid"", ""is watchful""]","[""sad"", ""lonely"", ""unhappy""]","[""none""]","[""stay away from personY"", ""forget about personY"", ""to eat"", ""to play video games""]","[""make up with personX"", ""be friends with personX"", ""none""]","[""none""]","[""know personY"", ""stop liking personY"", ""to fight with person y"", ""to hate person y""]",PersonX becomes friends with PersonY
PersonX helps PersonY balance on his perch.,trn,"[""skilled"", ""careful"", ""courteous"", ""helpful""]","[""none"", ""Thanked by personY"", ""Offered a favor in return""]","[""avoids falling"", ""gets better at balancing"", ""none""]","[""helpfule"", ""useful"", ""friendly"", ""happy""]","[""thankful"", ""grateful"", ""joyful""]","[""go home"", ""cook dinner"", ""to give persony confidence"", ""to be helpful""]","[""none"", ""to climb to the treehouse"", ""to hang off a branch""]","[""to keep PersonY from falling"", ""to help PersonY"", ""to be a good friend"", ""to give someone aid""]","[""none""]",PersonX knocks PersonY off his perch
PersonX looks at the crowd.,trn,"[""popular"", ""unafraid"", ""attentive"", ""unsure"", ""nervous""]","[""none""]","[""none""]","[""happy"", ""excited"", ""in good company""]","[""none""]","[""cheer the team"", ""laugh"", ""to go back home"", ""change their mind""]","[""none""]","[""none""]","[""none""]",PersonX keeps PersonX's eye on the ball
PersonX calls all of PErsonX's enemies,trn,"[""brave"", ""courageous"", ""mean"", ""hateful""]","[""none"", ""Jumped by enemies"", ""Knocked out cold""]","[""none""]","[""ready"", ""confused"", ""angry"", ""annoyed""]","[""none""]","[""Went for dinner"", ""Leave them in hotel"", ""to cause an argument"", ""have a fight""]","[""none""]","[""to be clear"", ""to raise an alarm"", ""none""]","[""none""]",PersonX calls all PersonX's friends
PersonX hides PersonX's cards.,trn,"[""secretive"", ""worried"", ""careful""]","[""none"", ""gets shouted at"", ""get yelled at""]","[""they don't go into further debt"", ""gets angry"", ""gets frustrated""]","[""secretive"", ""in control"", ""confused"", ""unsure""]","[""none""]","[""to call a bluff"", ""win the game"", ""to trick themselves"", ""have a hard time finding them""]","[""none""]","[""them to remain unseen"", ""them to be a secret"", ""to cause problems"", ""to put them away""]","[""none""]",PersonX shows PersonX's cards
PersonX gives it directly to PersonY,trn,"[""generous"", ""unbureaucratic"", ""efficient"", ""considerate""]","[""Thanked profusely"", ""Offered a favor in return"", ""gets a thank you"", ""is given a new task""]","[""none""]","[""kind"", ""polite"", ""caring"", ""sharing""]","[""appreciative"", ""grateful"", ""none""]","[""make sure persony has it"", ""to get it to the next person"", ""to look nice"", ""to act nice""]","[""to collect it"", ""to grab it real quick"", ""none""]","[""PersonY to have it"", ""to share with PersonY"", ""none""]","[""none""]",PersonX gives it to PersonY's mother
PersonX forgets to give PersonY the report.,trn,"[""aloof"", ""forgetful"", ""Unorganized"", ""Lazy""]","[""none"", ""gets yelled at"", ""gets screamed at""]","[""none"", ""yells"", ""screams""]","[""sorry"", ""regretful"", ""scared"", ""nervous""]","[""none""]","[""to apologize"", ""to make amends"", ""Try to give it early"", ""ask sorry""]","[""to confront personx"", ""to yell at personx"", ""none""]","[""none""]","[""none"", ""Went to work"", ""Create a report based on the day""]",PersonX gives PersonY a report
PersonX walks to their destination,trn,"[""tired"", ""exhausted"", ""pedestrian""]","[""leg muscles cramp up"", ""become sweaty"", ""gets greeted by people"", ""finds out the place is closed""]","[""none""]","[""tired"", ""happy"", ""bored""]","[""none""]","[""to enjoy the fresh air"", ""to arrive on time"", ""arrive"", ""rest""]","[""none""]","[""none""]","[""to have an appointment close by"", ""to avoid dealing with finding parking"", ""have a destination to go to"", ""decide to walk""]",PersonX calls a cab
PersonX keeps their hands at their sides.,trn,"[""careful"", ""confident"", ""solemn"", ""still""]","[""Are still"", ""Stay at sides"", ""none""]","[""none"", ""is put at ease"", ""is given a chance to think""]","[""frustrated"", ""proud"", ""okay"", ""normal""]","[""none""]","[""stay still"", ""avoid being noticed""]","[""none""]","[""calm"", ""remain in control"", ""to sit still"", ""to not move""]","[""none""]",PersonX cups PersonY's cheek
PersonX brings PersonY's bike,trn,"[""nice"", ""kind"", ""helpful"", ""accomodating""]","[""gives bike to person Y"", ""gets thanked"", ""gasps for breath"", ""takes a tumble""]","[""excepts bike"", ""thanks person x"", ""none""]","[""excited"", ""happy"", ""helpful"", ""resourceful""]","[""happy"", ""hopeful"", ""relieved"", ""thankful""]","[""to ride"", ""to help"", ""to surprise them"", ""to make them work hard""]","[""none""]","[""to return the bicycle"", ""to ride together"", ""PersonY to be able to participate in the race"", ""PersonY to be able to follow them""]","[""none""]",PersonX takes PersonY's bike
PersonX tells PersonY to come,trn,"[""authoritative"", ""kindly"", ""impatient"", ""anxious""]","[""smiles"", ""talked to"", ""is told they accept the invitation"", ""is thanked by PersonY""]","[""smiles"", ""blushes"", ""is told they look forward to being with them"", ""is given the date and time""]","[""gracious"", ""friendly"", ""Worried PersonY won't come"", ""excited"", ""nervous""]","[""Included"", ""Excited"", ""nervous"", ""worried""]","[""go with"", ""have the invitation accepted"", ""to visit with Y"", ""to see Y face to face""]","[""go"", ""decline the invitation"", ""to accept the invitation"", ""to see x""]","[""to introduce PersonY to others"", ""to spend time with PersonY"", ""to talk to persony"", ""to have a conversation with persony""]","[""contact personY"", ""have somewhere to go"", ""none""]",PersonX tells PersonY not to come
PersonX was left at a table alone,trn,"[""not well liked"", ""disregarded by others"", ""unassertive"", ""Sad"", ""Lonely"", ""Worried""]","[""none"", ""gets invited to another table"", ""is ignored""]","[""none""]","[""lonely"", ""sad""]","[""none""]","[""go find where everyone went"", ""ask why he was left behind"", ""Arrange party for birthady"", ""Arrange furniture for the party""]","[""none""]","[""none""]","[""sit down at the table"", ""go out with friends"", ""none""]",PersonX eats with PersonY's friends
PersonX saves PersonY.,trn,"[""caring"", ""brave"", ""heroic""]","[""gets thanked"", ""gets a reward"", ""gets looked fondly upon""]","[""becomes indebted"", ""stays alive"", ""becomes grateful toward personx"", ""gains trust in personx""]","[""proud"", ""relieved"", ""happy"", ""excited""]","[""grateful"", ""happy"", ""none""]","[""to check on PersonY"", ""to see if PersonY needs more help"", ""to make sure they are okay"", ""to rest once ashore""]","[""to thank PersonX"", ""to cry in relief"", ""to show appreciation to Person X"", ""to learn how to swim""]","[""to help someone"", ""to be a good person"", ""none""]","[""to see PersonY in danger"", ""to jump in to help PersonY"", ""to see the individual fall into the water"", ""to hear them scream"", ""to jump into the water and pull them to shore""]",PersonX costs PersonY life
PersonX takes an item from PersonY.,trn,"[""hoggish"", ""stingy"", ""help oneself to"", ""abscond with""]","[""sells the item"", ""is arrested"", ""they are arrested""]","[""none""]","[""guilty"", ""worried"", ""satisfied"", ""nervous""]","[""upset"", ""annoyed"", ""none""]","[""to return him"", ""to buy new one"", ""to own it"", ""to have it""]","[""none""]","[""to keep the item"", ""to upset PersonY"", ""to remain unfocused"", ""to express negative feelings""]","[""none""]",PersonX places in PersonY's hands
PersonX wins a bet.,trn,"[""lucky"", ""pleased"", ""happy"", ""enthusiastic""]","[""makes money"", ""brags about the win"", ""gains money"", ""becomes richer""]","[""none""]","[""gratified"", ""elated"", ""lucky"", ""like a pro""]","[""none""]","[""to  try again"", ""to celebrate"", ""spend their money"", ""go shopping""]","[""none""]","[""to make money"", ""to play the odds"", ""none""]","[""none"", ""make a bet"", ""bet well""]",PersonX loses a bet
PersonX takes a bowl from PersonY.,trn,"[""selfish"", ""hungry"", ""greedy"", ""inconsiderate""]","[""none""]","[""Bowl taken"", ""Missing bowl"", ""none""]","[""mischievous"", ""evil"", ""ready to dig in"", ""thankful to get a taste""]","[""confused"", ""annoyed"", ""irritated about having to share"", ""happy to share a taste""]","[""use the bowl"", ""wash the bowl"", ""to eat the lunch"", ""to enjoy""]","[""offer thanks"", ""get another bowl"", ""none""]","[""to steal"", ""to use item"", ""to use it for cereal"", ""to try the soup""]","[""approach personY"", ""reach for the bowl"", ""to see the bowl"", ""to get near the bowl""]",PersonX gives PersonY a cup
PersonX stirs the pot,trn,"[""aggressive"", ""combative"", ""shrewd"", ""manipulative""]","[""gets hungry"", ""gets complimented"", ""none""]","[""none""]","[""troublesome"", ""up to no good"", ""Like a jerk"", ""fulfilled""]","[""none""]","[""to taste the stew"", ""to add seasoning"", ""to make the perfect soup"", ""to ask their child to help with the soup""]","[""none""]","[""to cause problems"", ""irritate others"", ""wants to get a reaction"", ""wants to cause trouble""]","[""to grab the spoon"", ""to take off the lid"", ""none""]",PersonX sweetens the pot
PersonX asks PersonY's sister,trn,"[""curious"", ""intelligent"", ""communicative"", ""inclusive""]","[""gains information"", ""is told what they wanted to know"", ""none""]","[""none"", ""they are asked""]","[""courageous"", ""fun"", ""satisfied"", ""happy""]","[""none""]","[""receive an answer"", ""ask another question"", ""to be a good friend"", ""to sleep""]","[""answer the question"", ""avoid answering"", ""none""]","[""none"", ""to get an answer"", ""to know""]","[""have a question to ask"", ""contact personY's sister"", ""to find person y"", ""to ask person y's sister""]",PersonX asks PersonY's brother
PersonX reads PersonY book,trn,"[""smart"", ""reading"", ""interested"", ""entranced""]","[""received gratitude from personY"", ""gets insight about the book"", ""gets inspired"", ""gets bored""]","[""received reviews"", ""asked to sign the book"", ""none""]","[""interested"", ""focused"", ""satisfied"", ""happy""]","[""anticipatory of what PersonX will say"", ""nervous"", ""impressed"", ""proud""]","[""to return the book"", ""to thank persony"", ""to see how Y liked the book"", ""find out what happens at the end of the book""]","[""to lend something"", ""to receive their item back"", ""to show appreciation and say thank you"", ""to find out if there are any more books in the series""]","[""to entertain themself"", ""to give feedback to PersonY"", ""to impress persony"", ""to have a good time with persony""]","[""to borrow reading material"", ""to go to persony's house"", ""to get a book"", ""to get near Y""]",PersonX writes PersonY book
